artist,year,month_day,auction house,seller,seller/artwork,purchaser,pounds,shillings,pence,
"HAGHE, Louis",1877,4/13/2016,Christie's,,"Robert Napier. 574. Audience Chamber, Bruges. 1852",J. Smith,777,0,0,
"HAGHE, Louis",1877,4/27/2016,Christie's,,"Albert Grant. 10. Interior, Milan Cathedral",Koekkoek,215,5,0,
"HAGHE, Louis",1877,4/27/2016,Christie's,,Albert Grant. 11. The Happy Trio. Chromo,Agnew,162,15,0,
"HAGHE, Louis",1877,5/19/2016,Christie's,,John Knowles. 25. Transept of Tournay Cathedral. 28^x22!,Agnew,252,0,0,
"HAGHE, Louis",1878,5/25/2016,Christie's,,H. W. Birch. 70. Armoury. 1859,Agnew,157,10,0,
"HAGHE, Louis",1879,3/22/2016,Christie's,,"John Fleming. 30. Tasso in Convent, Rome",Agnew,231,0,0,
"HAGHE, Louis",1880,5/15/2016,Christie's,,Mrs. Tyson. (673 L.) 32. Guard-room at Oudenarde,Agnew,194,5,0,
"HAGHE, Louis",1880,6/26/2016,Christie's,,"Lawrie and Son. (50 M.) 68. Forum, Rome",—,—,,,
"HAGHE, Louis",1881,4/9/2016,Christie's,,H. S. Bicknell. (722 M.) 425. The Recruit—Guard House. 16 x 20 ,Agnew,157,10,0,
"HAGHE, Louis",1882,4/29/2016,Christie's,,James McConnell. (271 N.) 12. Guard-room at Oudenarde,Neate,260,8,0,
"HAGHE, Louis",1883,5/28/2016,Christie's,,William Lee. (211 S.) 194. Transept of Tournay Cathedral. 30 X 22,Bought in,210,0,0,
"HAGHE, Louis",1885,7/4/2016,Christie's,,"Louis Haghe. (598 V.) 358'. St. Mark's, Venice",Tooth,110,5,0,
"HAGHE, Louis",1886,3/6/2016,Christie's,,"John Napier. 23. Audience Chamber, Bruges",Bought in,315,0,0,
"HAGHE, Louis",1886,3/27/2016,Christie's,,Henry McConnell. (257 W.) 29. Sunny Hours. 25x34,Grey,236,5,0,
"HAGHE, Louis",1886,5/29/2016,Christie's,,Charles Seeley. 62-74. Twelve Drawings ,Presented to the Nation,,,,
"HAGHE, Louis",1887,5/21/2016,Christie's,,"William Leach. 39. Hotel de Ville, Louvain. 1861. 27x37J",Agnew,220,10,0,
"HAGHE, Louis",1888,5/19/2016,Christie's,,James Patry. 178. Grand View of Venice. 1856,—,236,5,0,
"HAGHE, Louis",1888,6/2/2016,Christie's,,- 92. Interior of St. Mark's. Drawing,Agnew,225,,0,
"HAGHE, Louis",1888,6/22/2016,Christie's,,William Lee. 326. Transept of Tournay Cathedral. 30x22^,Agnew,96,12,0,
"HAGHE, Louis",1889,3/23/2016,Christie's,,"- 103. Trial of A. Vandevelde, Bruges. Drawing",Agnew,108,3,0,
"HAGHE, Louis",1891,4/11/2016,Christie's,,Sir Henry Arthur Hunt. 47. The Silver Wedding. 1870. Drawing,Vokins,267,10,0,
"HAGHE, Louis",1891,5/2/2016,Christie's,,H. W. F. Bolckow. 21. Choir of Santa Maria. 1819. Dg. 28^x39,Agnew,315,0,0,
"HAGHE, Louis",1892,4/30/2016,Christie's,,Messrs. Murrieta. 41. Interior of a Church. Drawing. 25 x 19,Agnew,84,0,0,
"HAGHE, Louis",1900,4/28/2016,Christie's,,Gilbert Winter Moss. 77. Milan Cathedral. Drawing. 43x36,Agnew,189,0,0,
"HAINES, William Henry",1885,2/7/2016,Christie's,,W.H.Haines. (8 V.) 91. Absent Thoughts,Cozens,2,10,0,
HALL,1885,3/25/2016,Christie's,,Henry G.Bohn. 984. Two Daughtersof King of Prussia. Miniature,Rickoff,108,3,0,
HALL,1904,5/17/2016,Christie's,,- 1144- Marie Camargo. Miniature,—,157,10,0,
HALL,1910,6/9/2016,Christie's,,T. W. Waller. 322. Marie Antoinette. Miniature,—,162,15,0,
"HALL, Harry",1892,5/9/2016,Christie's,,"Richard Watt. 14. "" Birthday "" (horse)",—,21,0,0,
"HALS, Dirk",1908,3/28/2016,Christie's,,"56 A. Hichens. 145. Lady at Table, Sewing. 14.5 x 11.5",Tulpunck,105,0,0,
"HALS, Dirk",1911,5/19/2016,Christie's,,"Sir W. Agnew. 46. Gentleman in red playing, and Group of Seven Figures. A pair. 9J x 13^",Klein berger,252,0,0,
"HALS, Frank",1722,8/6/2016,Wilson,,William Van Hals. 222. A Woman with a Ruff,—,,,,
"HALS, Frank",1724,11/16/2016,Cock,,Mr. Sykes. 20. A Boy Fiddling,—,,,,
"HALS, Frank",1724,11/16/2016,Cock,,Mr. Sykes. 191. A Dead Man's Head,—,,,,
"HALS, Frank",1724,11/16/2016,Cock,,Mr. Sykes. 332. Portrait of Brawer. Half-length,—,,,,
"HALS, Frank",1725,3/11/2016,Cock,,Mr. Gambarini. 140. Frank Hals,—,,,,
"HALS, Frank",1725,5/10/2016,Cock,,Marquis of Powis. 19. Burgomaster Spegal and his Lady,—,,,,
"HALS, Frank",1741,3/11/2016,Cock,,Earl of Oxford. 36. Old Man's Head,Scarlett,9,10,0,
"HALS, Frank",1741,3/12/2016,Cock,,Earl of Oxford. 18. Man's Head on Copper,Montagu,1,1,0,
"HALS, Frank",1741,3/12/2016,Cock,,Earl of Oxford. 22. Boy with Lace Band,Broset,5,5,0,
